"""","和歌山県_全 建 築 物_棟　　数","和歌山県_全 建 築 物_前年(同月･期)比","和歌山県_居 住 専 用_棟　　数","和歌山県_居 住 専 用_前年(同月･期)比","和歌山県_産 業 用 （非居住専用）_棟　　数","和歌山県_産 業 用 （非居住専用）_前年(同月･期)比"
"平成21年10-12月","1147.0","-3.6943744752309016","947.0","-0.7337526205450757","200.0","-15.611814345991561"
"平成22年1-3月","1072.0","-3.9426523297491087","865.0","-5.361050328227563","207.0","2.4752475247524757"
"平成22年4-6月","1108.0","-3.652173913043484","903.0","-8.044806517311613","205.0","22.023809523809533"
"平成22年7-9月","1260.0","2.189781021897815","1028.0","4.365482233502547","232.0","-6.451612903225808"
"平成22年10-12月","1379.0","20.226678291194418","1111.0","17.31784582893347","268.0","34.0"
"平成23年1-3月","1124.0","4.850746268656707","905.0","4.624277456647391","219.0","5.79710144927536"
"平成23年4-6月","1082.0","-2.3465703971119183","887.0","-1.7718715393133948","195.0","-4.878048780487802"
"平成23年7-9月","1267.0","0.5555555555555571","1081.0","5.155642023346303","186.0","-19.827586206896555"
"平成23年10-12月","1149.0","-16.678752719361853","900.0","-18.991899189918996","249.0","-7.089552238805979"
"平成24年1-3月","1109.0","-1.334519572953738","869.0","-3.97790055248619","240.0","9.589041095890408"
"平成24年4-6月","1088.0","0.554528650646958","858.0","-3.2694475760992106","230.0","17.948717948717956"
"平成24年7-9月","1248.0","-1.4996053670086837","1010.0","-6.567992599444963","238.0","27.956989247311824"
"平成24年10-12月","1308.0","13.83812010443863","1043.0","15.888888888888886","265.0","6.4257028112449746"
"平成25年1-3月","1231.0","11.000901713255189","1016.0","16.91599539700806","215.0","-10.416666666666657"
"平成25年4-6月","1286.0","18.198529411764696","1014.0","18.181818181818187","272.0","18.26086956521739"
"平成25年7-9月","1335.0","6.971153846153854","1131.0","11.980198019801989","204.0","-14.285714285714292"
"平成25年10-12月","1688.0","29.05198776758411","1328.0","27.32502396931926","360.0","35.84905660377359"
"平成26年1-3月","1155.0","-6.1738424045491485","896.0","-11.811023622047244","259.0","20.465116279069775"
"平成26年4-6月","1171.0","-8.94245723172628","939.0","-7.3964497041420145","232.0","-14.705882352941174"
"平成26年7-9月","1194.0","-10.561797752808985","955.0","-15.56145004420867","239.0","17.15686274509804"
"平成26年10-12月","1165.0","-30.983412322274887","916.0","-31.024096385542165","249.0","-30.83333333333333"
